행정 용어,쉬운 한국어 풀이,영어,베트남어,중국어,일본어
무인민원발급기,주민센터나 지하철역에 있는 서류 떼는 자판기 기계,Unmanned Civil Service Certificate Issuance Kiosk,Máy cấp giấy tờ hành chính tự động,自助证明文件打印机,無人証明書発行機
주민등록증,한국 사람이라는 것을 증명하는 플라스틱 신분증 (민증),Resident Registration Card,Thẻ đăng ký cư trú (của công dân Hàn Quốc),居民登录证（韩国身份证）,住民登録証
운전면허증,자동차를 운전할 수 있는 자격이 있다는 것을 증명하는 신분증,Driver's License,Bằng lái xe,驾驶证,運転免許証
쓰레기 종량제,버리는 쓰레기 양만큼 전용 비닐봉투를 사서 버려야 하는 제도,Volume-based Waste Fee System,Chế độ trả phí rác theo lượng,垃圾从量制,ゴミ従量制
대형폐기물 스티커,"가구, 가전제품처럼 큰 쓰레기를 버릴 때 슈퍼에서 사서 붙여야 하는 스티커",Bulky Waste Sticker,Tem rác thải cỡ lớn,大型废弃物贴纸,大型ごみシール
상하수도 요금,집에서 쓴 수돗물과 버린 하수도 물에 대한 요금,Water and Sewage Bill,Phí cấp thoát nước,上下水道费,上下水道料金
도시가스,집에서 가스레인지를 켜거나 보일러를 틀 때 쓰는 가스,City Gas,Khí ga đô thị,城市煤气,都市ガス
양육비,이혼한 뒤 아이를 키우는 쪽에게 다른 쪽이 매달 보내주는 아이 양육 돈,Child Support,Tiền cấp dưỡng nuôi con,抚养费,養育費
난임부부 시술비 지원,아기가 잘 안 생기는 부부가 병원 치료를 받을 때 나라에서 돈을 보태주는 제도,Support for Infertility Treatment,Hỗ trợ chi phí điều trị hiếm muộn,不孕不育夫妇手术费支援,不妊夫婦施術費支援
어린이집 입소대기,아기를 어린이집에 보내기 위해 인터넷으로 미리 순서를 기다리는 것,Daycare Center Waitlist,Chờ xếp chỗ vào nhà trẻ,托儿所入所排队,オリニジップ（保育園）入所待機
유치원 방과후 과정,유치원 정규 수업이 끝난 후에도 늦게까지 아이를 돌봐주는 프로그램,Kindergarten After-school Program,Chương trình học sau giờ ở mẫu giáo,幼儿园课后班,幼稚園放課後課程
다함께돌봄센터,초등학생들이 학교 끝나고 부모님이 오실 때까지 안전하게 머물며 노는 곳,Together Care Center (after-school care center),Trung tâm chăm sóc trẻ sau giờ học,课后儿童照护中心,放課後児童ケアセンター
지역아동센터,소득이 적거나 맞벌이인 가정의 아이들에게 공부도 가르쳐주고 밥도 주는 곳,Local Children's Center,Trung tâm trẻ em khu vực,地区儿童中心,地域児童センター
청소년증,학생증이 없어도 청소년(만 9~18세)임을 증명하고 할인받을 수 있는 신분증,Youth Card,Thẻ thanh thiếu niên,青少年证,青少年証
소년소녀가장,부모님이 안 계셔서 아직 어린데도 동생들을 돌보며 집안을 이끄는 아이,Child-headed Household,Trẻ em làm chủ hộ,少年少女家长,少年少女家長
건강진단결과서,"보건증의 새 이름으로, 전염병이 없음을 보건소에서 증명해 주는 서류",Health Examination Result (Health Certificate),Giấy chứng nhận kết quả khám sức khỏe,健康诊断结果书,健康診断結果書
체납,내야 할 세금이나 건강보험료 등을 제때 내지 않고 밀려 있는 상태,Arrears (Unpaid),Nợ đọng (Chưa nộp),滞纳 (拖欠),滞納
독촉장,돈을 안 낸 사람에게 빨리 내라고 나라나 기관에서 보내는 경고 우편물,Reminder Notice,Giấy nhắc nhở (đòi nợ),催缴单,督促状
파산,빚이 너무 많아서 도저히 갚을 수 없다고 법원에 선언하고 빚을 없애달라고 하는 것,Bankruptcy,Phá sản,破产,破産
개인회생,빚이 많지만 월급을 받으며 매달 조금씩 갚으면 나머지 빚을 깎아주는 제도,Individual Rehabilitation,Phục hồi cá nhân,个人回生 (个人债务重组),個人回生（個人再生）
신용불량자,은행 빚이나 카드값을 오랫동안 안 갚아서 금융 거래가 막힌 사람 (채무불이행자),Credit Defaulter,Người nợ xấu,信用不良者,信用不良者
취득세,집이나 자동차 등 비싼 물건을 내 것으로 만들었을 때 나라에 내는 세금,Acquisition Tax,Thuế trước bạ,取得税,取得税
증여세,가족이나 다른 사람에게 큰돈이나 집을 공짜로 받았을 때 내는 세금,Gift Tax,Thuế quà tặng,赠与税,贈与税
상속세,부모님 등 가족이 돌아가시면서 물려준 재산에 대해 내는 세금,Inheritance Tax,Thuế thừa kế,继承税,相続税
압류,밀린 세금이나 빚을 안 갚았을 때 나라에서 내 통장이나 집을 강제로 묶어두는 것,Seizure (Attachment),Tịch thu (Phong tỏa tài sản),扣押 (查封),差押え
지방소득세,"국가에 소득세를 낼 때, 그중 10%를 내가 사는 지역(시/구)에 따로 내는 세금",Local Income Tax,Thuế thu nhập địa phương,地方所得税,地方所得税
보증인,"친구나 가족이 빚을 낼 때, 그 사람이 못 갚으면 내가 대신 갚겠다고 약속하는 사람",Guarantor,Người bảo lãnh,保证人,保証人
연대보증,돈을 빌린 사람과 똑같은 책임을 지고 돈을 무조건 갚아야 하는 아주 위험한 보증,Joint Surety,Bảo lãnh liên đới,连带保证,連帯保証
인지대,법원 서류나 계약서 같은 중요한 나라 문서를 뗄 때 내는 수수료(수입인지),Stamp Duty,Lệ phí tem,印花税 (手续费),印紙代
송달료,법원에서 재판과 관련된 서류를 우체국을 통해 보낼 때 내는 우편 요금,Service Fee (Postage),Phí tống đạt (Phí gửi giấy tờ),送达费 (邮寄费),送達料
가처분,재판이 끝날 때까지 남이 내 집이나 물건을 마음대로 팔지 못하게 임시로 막아두는 것,Provisional Injunction,Lệnh cấm tạm thời,假处分 (临时禁令),仮処分
이의신청,나라에서 내린 결정이나 세금이 억울할 때 다시 한번 생각해 달라고 따지는 것,Filing an Objection,Nộp đơn khiếu nại,提出异议,異議申立て
행정심판,주민센터나 구청의 잘못된 결정 때문에 피해를 봤을 때 법원 가기 전에 해결하는 제도,Administrative Appeal,Khiếu nại hành chính,行政复议,行政審判
국선변호사,돈이 없어서 변호사를 구하기 힘든 사람을 위해 나라에서 무료로 붙여주는 변호사,Public Defender,Luật sư công,国选律师 (公设辩护人),国選弁護士
대한법률구조공단,법을 잘 모르거나 돈이 없는 사람들에게 무료로 법률 상담을 해주고 도와주는 기관,Korea Legal Aid Corporation,Cơ quan Trợ giúp Pháp lý Hàn Quốc,大韩法律救助公团,大韓法律救助公団
보조금,나라에서 시민이나 기업이 특정한 일을 할 때 돈을 보태주는 것 (전기차 보조금 등),Subsidy,Tiền trợ cấp,补助金,補助金
산후도우미,아기를 낳고 집에 온 산모를 위해 집으로 찾아와서 밥을 해주고 아기를 돌봐주는 사람,Postpartum Care Helper,Người giúp việc chăm sóc sau sinh,产后帮手 (月嫂),産後ヘルパー
유아학비,유치원에 다니는 만 3~5세 아이들에게 나라에서 유치원비를 보태주는 돈,Preschool Tuition Subsidy,Tiền học phí mẫu giáo,幼儿学费补助,幼児学費補助
국가예방접종,아기나 어르신들이 병에 걸리지 않도록 보건소나 병원에서 무료로 놔주는 주사,National Immunization Program,Chương trình tiêm chủng quốc gia,国家预防接种,国家予防接種
독감 백신,매년 겨울이 오기 전에 감기를 심하게 앓지 않도록 맞는 독감 예방 주사,Flu Vaccine,Vắc-xin cúm,流感疫苗,インフルエンザワクチン
노령연금,국민연금을 10년 이상 낸 사람이 만 65세가 넘으면 매달 죽을 때까지 받는 연금,Old-age Pension,Lương hưu tuổi già,老龄年金 (养老金),老齢年金
장애인 등록증,내가 장애인임을 나라에 등록하고 복지 혜택을 받기 위해 발급받는 플라스틱 카드,Disability Registration Card,Thẻ đăng ký người khuyết tật,残疾人登记证,障害者登録証
심한 장애,"예전의 '장애 1~3급'에 해당하는 말로, 혼자서 생활하기 많이 불편한 상태",Severe Disability,Khuyết tật nặng,重度残疾,重度障害
심하지 않은 장애,"예전의 '장애 4~6급'에 해당하는 말로, 생활에 약간의 불편함만 있는 상태",Mild Disability,Khuyết tật nhẹ,轻度残疾,軽度障害
맞벌이 가구,엄마와 아빠가 둘 다 직장에 다니며 돈을 버는 가정,Dual-Income Household,Gia đình thu nhập kép,双职工家庭,共働き世帯
재직증명서,내가 지금 이 회사에 확실히 다니고 있다는 것을 회사에서 공식적으로 인정해 주는 서류,Certificate of Employment,Giấy chứng nhận 재직,在职证明书,在職証明書
혼인신고,결혼했다고 나라에 공식적으로 알리는 서류 작업,Marriage Registration,Đăng ký kết hôn,结婚登记,婚姻届
출생신고,아기가 태어났다고 나라에 공식적으로 알리는 서류 작업,Birth Registration,Khai sinh,出生登记,出生届
사망신고,가족이 돌아가셨음을 나라에 알리는 서류 작업,Death Registration,Khai tử,死亡登记,死亡届
보건소,예방접종이나 보건증 발급 등 동네 주민들의 건강을 챙겨주는 공공 의료기관,Public Health Center,Trung tâm y tế cộng đồng,保健所,保健所
장애인 주차구역,휠체어 등을 사용하는 장애인이 편하게 내릴 수 있도록 넓게 만든 전용 주차칸,Disabled Parking Space,Khu vực đỗ xe cho người khuyết tật,残疾人专用停车位,障害者専用駐車場
한부모가족증명서,혼자서 아이를 키우는 가정임을 증명하여 복지 혜택을 받을 때 내는 서류,Single Parent Family Certificate,Giấy chứng nhận gia đình đơn thân,单亲家庭证明书,ひとり親家族証明書
요양원,혼자서 생활하기 힘든 어르신들이 머물며 보살핌을 받는 복지 시설,Nursing Home,Viện dưỡng lão,疗养院 (养老院),療養院（老人ホーム）
방문요양,요양보호사가 어르신 집으로 찾아와서 목욕이나 식사를 도와주는 서비스,Visiting Nursing Care,Chăm sóc tại nhà,访问疗养 (上门护理),訪問療養 (ホームヘルプ)
취약계층,소득이 적거나 몸이 불편해서 사회적으로 보호와 지원이 필요한 사람들,Vulnerable Groups,Nhóm dễ bị tổn thương,弱势群体,社会的弱者層
자립준비청년,보육원 등에서 자라다가 어른이 되어 혼자 힘으로 살아가야 하는 청년,Youth Preparing for Self-Reliance,Thanh niên chuẩn bị tự lập,准备自立的青年,自立準備青年
노인맞춤돌봄서비스,혼자 사시는 어르신들에게 전화나 방문으로 안전을 확인하고 도와주는 복지,Personalized Care Service for Older Adults,Dịch vụ chăm sóc cá nhân hóa cho người cao tuổi,老年人个性化照护服务,高齢者個別ケアサービス
무료급식소,밥을 챙겨 먹기 힘든 어르신이나 노숙인들에게 무료로 따뜻한 밥을 주는 곳,Free Soup Kitchen,Bếp ăn miễn phí,免费供餐所,無料給食所
출입국외국인청,"외국인의 비자 연장, 영주권 등 한국 체류와 관련된 업무를 처리하는 관공서",Immigration and Foreigner Office,Cục xuất nhập cảnh và người nước ngoài,出入境外国人厅,出入国外国人庁
주민센터,동네 사람들이 등본을 떼거나 복지 상담을 받을 수 있는 가장 가까운 관공서,Community Service Center,Trung tâm dịch vụ cộng đồng,居民中心（行政福利中心）,住民センター（行政福祉センター）
고용위기지역,공장이 문을 닫는 등 일자리가 갑자기 많이 없어져서 나라에서 특별히 도와주는 동네,Employment Crisis Zone,Khu vực khủng hoảng việc làm,雇佣危机地区,雇用危機地域
가불,월급날이 되기 전에 급하게 돈이 필요해서 회사에서 월급의 일부를 미리 받는 것,Salary Advance,Ứng lương,预支工资,給料の前借り
산업재해(산재),회사에서 일하다가 다치거나 병에 걸리는 것,Industrial Accident,Tai nạn lao động,工伤 (产业灾害),産業災害 (労災)
청약가점제,집이 없던 기간이나 가족 수 등을 점수로 계산해서 높은 사람에게 아파트를 먼저 주는 방식,Housing Subscription Point System,Hệ thống tính điểm đăng ký mua nhà,认购加分制,住宅申込み加点制
국민건강보험공단,우리가 내는 건강보험료를 관리하고 병원비를 지원해 주는 국가 기관,National Health Insurance Service,Tổng công ty Bảo hiểm Y tế Quốc gia,国民健康保险公团,国民健康保険公団
임산부 배려석,지하철이나 버스에서 임신한 여성을 위해 비워두는 분홍색 자리,Priority Seating for Pregnant Women,Ghế ưu tiên cho phụ nữ mang thai,孕妇爱心座,妊婦優先席
세대주,한 집에 같이 사는 가족을 대표하는 사람,Head of Household,Chủ hộ,户主,世帯主
세대원,세대주와 함께 한 집에 살고 있는 가족들,Household Member,Thành viên hộ gia đình,户成员 (世代员),世帯員
근로능력,아프지 않고 정상적으로 일해서 돈을 벌 수 있는 체력과 능력,Ability to Work,Khả năng lao động,劳动能力,勤労能力
소득평가액,나라에서 내 진짜 소득이 얼마인지 여러 가지를 따져서 계산한 금액,Assessed Income,Thu nhập được đánh giá,收入评估额,所得評価額
금융재산,"통장에 있는 예금, 적금, 주식 등 현금으로 바꿀 수 있는 재산",Financial Assets,Tài sản tài chính,金融财产,金融財産
부채,은행이나 다른 사람에게 빌려서 앞으로 갚아야 할 빚,Debt (Liabilities),Khoản nợ,负债 (债务),負債 (借金)
복지급여,나라에서 조건에 맞는 사람에게 지원해 주는 돈이나 물건,Welfare Benefits,Trợ cấp phúc lợi,福利给付 (福利金),福祉給付
부정수급,자격이 안 되는데 거짓말을 해서 몰래 복지 혜택을 받는 것,Illegal Receipt of Benefits,Nhận trợ cấp bất hợp pháp,非法领取,不正受給
환수,나라에서 잘못 준 복지 지원금이나 부정수급한 돈을 다시 뺏어가는 것,Recovery,Thu hồi,追回,返還請求
소명자료,"내 소득이나 재산이 사실과 다를 때, 억울함을 풀기 위해 내는 증거 서류",Explanatory Material (Vindication),Tài liệu giải trình,申辩材料 (证明材料),疎明資料 (証明資料)
위임장,"내가 직접 못 갈 때, 다른 사람이 나 대신 일을 처리할 수 있게 허락하는 서류",Power of Attorney,Giấy ủy quyền,委托书,委任状
대리인,나를 대신해서 주민센터나 은행에서 일을 처리해 주는 사람,Representative (Proxy),Người đại diện,代理人,代理人
자격상실,복지 혜택을 받을 수 있는 조건에서 벗어나 더 이상 지원을 못 받게 되는 것,Loss of Eligibility,Mất tư cách (Hết điều kiện),丧失资格,資格喪失
맞춤형 급여 안내 (복지멤버십),내가 받을 수 있는 복지 혜택이 생기면 나라에서 미리 찾아서 알려주는 서비스,Customized Benefit Guide (Welfare Membership),Hướng dẫn trợ cấp tùy chỉnh,定制型给付指南 (福利会员),オーダーメイド給付案内 (福祉メンバーシップ)
복지카드,장애인 등록을 마친 사람에게 발급되는 신분증 겸용 혜택 카드,Welfare Card (Disability Card),Thẻ phúc lợi,福利卡 (残疾人卡),福祉カード
보건복지상담센터 (129),복지 혜택이 궁금하거나 힘들 때 전화해서 물어볼 수 있는 국가 콜센터,Health and Welfare Call Center,Trung tâm tư vấn y tế và phúc lợi,保健福利咨询中心,保健福祉相談センター
자산형성지원,소득이 적은 사람이 목돈을 모을 수 있게 저축한 만큼 나라에서 돈을 얹어주는 사업,Asset Building Support,Hỗ trợ hình thành tài sản,资产形成支援,資産形成支援
현물급여,"돈(현금) 대신 쌀, 기저귀, 연탄 등 물건으로 직접 복지 혜택을 주는 것",In-kind Benefits,Trợ cấp hiện vật,实物给付,現物給付
신고의무,주소가 바뀌거나 취직을 해서 소득이 생기면 나라에 무조건 알려야 하는 규칙,Duty to Report,Nghĩa vụ khai báo,申报义务,申告義務
가구특례,"특정한 상황(장애, 질병 등)에 있는 가족에게 복지 기준을 너그럽게 봐주는 제도",Special Household Exception,Đặc lệ hộ gia đình,家庭特例 (宽待规定),世帯特例
모의계산,복지 혜택을 신청하기 전에 내가 자격이 되는지 인터넷으로 미리 점검해 보는 것,Mock Calculation (Simulation),Tính toán thử,模拟计算,模擬計算
수급희망 이력관리,지금은 탈락했지만 나중에 조건이 맞으면 다시 알려달라고 신청해 두는 것,Request for Future Eligibility Notification,Quản lý lịch sử nguyện vọng thụ hưởng,受领希望履历管理,受給希望履歴管理
자활근로,일반 직장에 취직하기 힘든 저소득층에게 나라에서 일자리를 제공해 주는 사업,Self-sufficiency Work,Lao động tự lập,自强劳动,自活勤労
주 소득자,한 가족 안에서 가장 돈을 많이 벌어서 가족을 먹여 살리는 사람,Primary Earner,Người thu nhập chính,主要收入者,主所得者
중증장애인,장애의 정도가 매우 심해서 일상생활에서 다른 사람의 도움이 꼭 필요한 사람,Person with Severe Disability,Người khuyết tật nặng,重度残疾人,重度障害者
초중고 교육비 지원,소득이 적은 가정의 학생들에게 방과후학교 수수료나 인터넷 통신비를 대주는 제도,Primary/Secondary Education Fee Support,Hỗ trợ chi phí giáo dục,中小学教育费支援,小中高教育費支援
한부모가족 아동양육비,혼자 아이를 키우는 엄마나 아빠에게 나라에서 매달 보태주는 아이 생활비,Child-rearing Allowance for Single Parents,Phí nuôi dưỡng trẻ gia đình đơn thân,单亲家庭儿童抚养费,ひとり親家族児童養育費
재조사,복지 혜택을 받고 있는 사람의 소득이나 재산이 변했는지 나라에서 다시 확인하는 것,Re-investigation,Tái điều tra,重新调查,再調査
보육료 결제,아이를 어린이집에 보낼 때 나라에서 받은 바우처 카드로 원비를 내는 것,Childcare Fee Payment,Thanh toán phí giữ trẻ,保育费支付,保育料決済
정부24,주민등록등본을 떼거나 각종 국가 민원 서류를 인터넷으로 처리할 수 있는 사이트,GOV.KR (Government Services Portal),Cổng dịch vụ chính phủ GOV.KR,政府24（韩国政府服务门户）,GOV.KR（韓国政府サービスポータル）
영유아 건강검진,생후 14일부터 71개월까지의 아기들이 무료로 받는 건강 검사,Infant Health Examination,Khám sức khỏe trẻ sơ sinh và trẻ nhỏ,婴幼儿健康检查,乳幼児健康診断
아동급식카드,밥을 굶을 걱정이 있는 아이들이 편의점이나 식당에서 밥을 사 먹을 수 있는 카드,Child Meal Card,Thẻ bữa ăn cho trẻ em,儿童供餐卡,児童給食カード
다둥이 행복카드,자녀가 2명 이상인 가족이 마트나 주차장 등에서 할인받을 수 있는 카드,Multi-child Family Card,Thẻ hạnh phúc gia đình đông con,多子女幸福卡,多子(子だくさん)幸福カード
장애인 콜택시,휠체어를 타거나 걷기 힘든 장애인을 위해 집 앞까지 데리러 오는 저렴한 맞춤형 택시,Call Taxi for the Disabled,Taxi dành cho người khuyết tật,残疾人呼叫出租车,障害者コールタクシー
장기요양등급,어르신이 혼자 생활하기 얼마나 힘든지를 점수로 매겨서 복지 혜택을 다르게 주는 등급,Long-term Care Grade,Cấp độ chăm sóc dài hạn,长期疗养等级,長期療養等級
최저생계비,사람이 건강하게 살아가기 위해 최소한으로 필요한 한 달 치 생활비,Minimum Cost of Living,Chi phí sinh hoạt tối thiểu,最低生活费,最低生計費
임대차 보호법,집주인이 갑자기 보증금을 올리거나 집에서 나가라고 할 때 세입자를 지켜주는 법,Housing Lease Protection Act,Luật bảo vệ người thuê nhà,房屋租赁保护法,賃貸借保護法
소액임차인,"보증금이 아주 적은 세입자로, 집이 경매로 넘어가도 보증금을 가장 먼저 돌려받을 수 있는 사람",Small-scale Lessee,Người thuê nhà nhỏ lẻ (tiền cọc ít),小额承租人,少額賃借人
실업인정,"일자리를 잃고 나서, 진짜로 새 직장을 구하려고 노력하고 있다는 것을 나라에 허락받는 것",Recognition of Unemployment,Công nhận thất nghiệp,失业认定,失業認定
구직활동,사람을 구하는 회사에 이력서를 내거나 면접을 보러 다니는 행동,Job-seeking Activity,Hoạt động tìm kiếm việc làm,求职活动,求職活動
육아휴직 급여,아이를 돌보느라 회사를 쉬는 동안 나라에서 고용보험으로 주는 생활비,Childcare Leave Allowance,Trợ cấp nghỉ thai sản/nuôi con,育儿休假津贴,育児休業給付金
근저당권,내가 돈을 안 갚으면 은행이 내 집을 팔아서 돈을 가져가겠다고 등기부에 미리 적어두는 것,Collateral Right (Mortgage),Quyền thế chấp,根抵当权 (抵押权),根抵当権
내용증명,내가 상대방에게 어떤 요구를 했다는 사실을 우체국이 공식적으로 증명해 주는 편지,Certified Mail,Thư bảo đảm (chứng thực nội dung),内容证明 (挂号信),内容証明
지급명령,"상대방이 돈을 안 갚을 때, 재판 없이 법원이 빨리 돈 갚으라고 명령하는 것",Payment Order,Lệnh thanh toán,支付命令,支払命令
산후조리원,아기를 낳은 엄마가 몸을 회복하고 아기 돌보는 법을 배우며 쉬는 전용 시설,Postpartum Care Center,Trung tâm chăm sóc sau sinh,产后护理院 (月子中心),産後調理院 (産後ケアセンター)
예방접종 증명서,"학교에 들어가기 전이나 외국에 갈 때, 주사를 다 맞았다는 것을 확인해 주는 서류",Certificate of Immunization,Giấy chứng nhận tiêm chủng,预防接种证明书,予防接種証明書
난임 휴가,아기가 잘 안 생겨서 병원 치료를 받아야 할 때 회사에 당당하게 낼 수 있는 특별 휴가,Infertility Treatment Leave,Nghỉ phép điều trị hiếm muộn,不孕不育治疗休假,不妊治療休暇
배우자 출산휴가,아내가 아기를 낳았을 때 남편이 아내를 돕기 위해 회사에 며칠 동안 내는 휴가,Paternity Leave,Nghỉ phép cho người chồng khi vợ sinh con,配偶产假 (陪产假),配偶者出産休暇
직장어린이집,회사 직원의 아이들을 돌봐주기 위해 회사 안이나 근처에 만들어 놓은 어린이집,Workplace Daycare Center,Nhà trẻ tại nơi làm việc,职场托儿所,職場保育園
대지급금 (구 체당금),"회사가 망해서 월급을 못 줄 때, 나라가 사장님을 대신해서 직원에게 먼저 주는 밀린 월급",Substitute Payment of Wages,Tiền lương trả thay (Nhà nước trả),垫付工资 (代发工资),未払賃金立替払制度
전세사기,집주인이 보증금을 돌려줄 생각 없이 세입자의 돈을 가로채는 범죄,Jeonse Fraud,Lừa đảo tiền cọc thuê nhà (Jeonse),租房诈骗 (全租诈骗),伝貰(チョンセ)詐欺
깡통전세,집을 팔아도 세입자에게 돌려줄 보증금보다 가치가 낮아진 위험한 집,Over-leveraged Jeonse House,Nhà Jeonse rỗng (Không đủ trả cọc),空壳全租房 (资不抵债),カントン伝貰 (担保割れ物件)
임차권등기명령,이사를 가더라도 내 보증금을 받을 권리가 있다는 것을 등기부에 남겨두는 법적 조치,Leasehold Registration Order,Lệnh đăng ký quyền thuê nhà,租赁权登记命令,賃借権登記命令
경매,빚을 못 갚은 사람의 집이나 땅을 법원이 대신 강제로 파는 것,Real Estate Auction,Đấu giá tài sản,拍卖,競売
배당요구,"집이 경매로 넘어갔을 때, 법원에 ""내 보증금도 돌려주세요""라고 공식적으로 신청하는 것",Demand for Distribution,Yêu cầu phân chia tiền đấu giá,要求分配 (要求受偿),配当要求
사회통합프로그램(KIIP),외국인이 한국어와 한국 문화를 배워서 비자를 변경하거나 국적을 딸 때 도움을 주는 교육,Korea Immigration and Integration Program (KIIP),Chương trình Hội nhập Xã hội Hàn Quốc (KIIP),韩国移民社会融合项目（KIIP）,社会統合プログラム（KIIP）
조기적응프로그램,한국에 처음 온 외국인이 생활에 필요한 기초 법과 제도를 빨리 배울 수 있게 돕는 교육,Early Adaptation Program,Chương trình thích ứng sớm,早期适应项目,早期適応プログラム
체류자격외 활동허가,"원래 받은 비자 목적 외에, 아르바이트 등 다른 일을 추가로 하기 위해 나라에 받는 허가",Permission for Activities outside Visa Status,Giấy phép hoạt động ngoài tư cách lưu trú,滞留资格外活动许可,在留資格外活動許可
복수국적 (이중국적),한국 국적과 외국 국적을 동시에 두 개 다 가지고 있는 상태,Dual Citizenship,Đa quốc tịch,双重国籍,二重国籍
시간제 취업 허가,유학생이 한국에서 학교에 다니면서 합법적으로 아르바이트를 하기 위해 받는 허가,Part-time Work Permit (for Students),Giấy phép làm thêm bán thời gian,小时工就业许可 (留学生兼职许可),資格外活動許可 (アルバイト許可)
출국명령,법을 어긴 외국인에게 언제까지 한국에서 떠나라고 나라에서 내리는 명령,Departure Order,Lệnh xuất cảnh,出境命令,出国命令
공증,중요한 서류나 계약서가 진짜이고 법적으로 효력이 있다고 국가가 인정해 주는 것,Notarization,Công chứng,公证,公証
아포스티유,외국에서 뗀 서류를 한국에서도 바로 진짜로 인정받을 수 있게 도장을 받는 것,Apostille,Chứng nhận Apostille,海牙认证 (阿波斯蒂尔),アポスティーユ
청년도약계좌,청년들이 5년 동안 꾸준히 저축하면 나라에서 이자와 지원금을 크게 얹어주는 통장,Youth Leap Account,Tài khoản thanh niên vươn lên,青年跳跃账户,青年飛躍口座
신용회복위원회,빚이 너무 많아서 갚기 힘든 사람들에게 이자를 깎아주거나 갚는 기간을 늘려주는 기관,Credit Counseling and Recovery Service,Ủy ban phục hồi tín dụng,信用恢复委员会,信用回復委員会
불법추심,"돈을 갚으라고 협박하거나, 가족에게 알리는 등 법을 어기면서 빚을 갚으라고 괴롭히는 행동",Illegal Debt Collection,Đòi nợ bất hợp pháp,非法催收,違法な取り立て
법정최고금리,돈을 빌려줄 때 법적으로 절대 이 선을 넘어서 이자를 받을 수 없도록 정해놓은 최고 이자율,Legal Maximum Interest Rate,Lãi suất tối đa theo luật định,法定最高利率,法定最高金利
햇살론,은행에서 대출받기 힘든 서민들을 위해 나라에서 보증을 서서 낮은 이자로 빌려주는 대출,Sunshine Loan,Khoản vay Haetsal-lon (vay lãi suất thấp),阳光贷款 (低息微型贷款),햇살론(ハッサルローン・低金利貸付)
가족돌봄휴가,부모님이나 자녀 등 가족이 아플 때 돌보기 위해 1년에 최대 10일까지 쉴 수 있는 휴가,Family Care Leave,Nghỉ phép chăm sóc gia đình,家族照料休假,家族ケア休暇
부당노동행위,"노동조합에 가입했다고 직원을 괴롭히거나, 회사가 정당한 노조 활동을 방해하는 행동",Unfair Labor Practice,Hành vi lao động không công bằng,不当劳动行为,不当労働行為
근로기준법,"일하는 사람의 최소한의 권리(월급, 쉬는 시간 등)를 보호하기 위해 나라에서 정해놓은 기본 법",Labor Standards Act,Luật Tiêu chuẩn Lao động,劳动基准法,労働基準法
최저임금위원회,매년 물가와 경제 상황을 따져서 다음 해의 시간당 최저 월급(시급)을 정하는 회의 기구,Minimum Wage Commission,Ủy ban lương tối thiểu,最低工资委员会,最低賃金委員会
국민취업지원제도 수당,취업을 준비하는 동안 밥을 먹거나 면접을 보러 다닐 수 있게 나라에서 달마다 주는 돈,National Employment Support Allowance,Trợ cấp hỗ trợ việc làm quốc gia,国民就业支援津贴,国民就業支援手当
고용복지플러스센터,"실업급여, 직업 훈련, 복지 상담 등을 한 건물에서 다 해결할 수 있도록 모아놓은 관공서",Employment Welfare Plus Center,Trung tâm Việc làm và Phúc lợi Plus,就业福利Plus中心,雇用福祉プラスセンター
주거취약계층,"고시원, 비닐하우스, 쪽방 등 사람이 살기 너무 열악하고 위험한 곳에서 지내는 사람들",Vulnerable Housing Group,Nhóm yếu thế về nhà ở,住房弱势群体,住居脆弱階層
주택임대사업자,집을 여러 채 가지고 있으면서 사람들에게 세를 내어주고 나라에 공식적으로 등록한 사람,Registered Housing Rental Business Operator,Người kinh doanh cho thuê nhà ở,住房租赁经营者,住宅賃貸事業者
장애인 보조기기 교부,생활이 어려운 장애인에게 휠체어나 시각장애인용 지팡이 같은 기구를 나라에서 무료로 주는 것,Provision of Assistive Devices for the Disabled,Cấp phát thiết bị hỗ trợ người khuyết tật,免费发放残疾人辅助器具,障害者補助器具交付
차별시정제도,직장에서 성별이나 비정규직이라는 이유로 월급이나 대우를 불공평하게 받을 때 고쳐달라고 하는 것,Discrimination Correction System,Chế độ sửa đổi phân biệt đối xử,差别纠正制度,差別是正制度
노인학대,"어르신을 때리거나, 욕하거나, 용돈을 빼앗거나, 일부러 돌보지 않고 방치하는 모든 나쁜 행동",Elder Abuse,Ngược đãi người cao tuổi,虐待老人,老人虐待
긴급복지 생계지원,갑자기 돈 버는 사람이 다치거나 죽어서 당장 먹을 쌀도 없을 때 나라에서 급하게 한 달 치 생활비를 주는 것,Emergency Livelihood Support,Hỗ trợ sinh hoạt khẩn cấp,紧急福利生计支援,緊急福祉生計支援
